a	a˧˧
áp thấp	ap˦˥tʰɤ̆p˦˥
áp thấp nhiệt đới	ap˦˥tʰɤ̆p˦˥ɲiət˨ˀ˩dɤj˨˦
áp tải	ap˦˥taj˧˩˨
áp tới	ap˦˥tɤj˨˦
áp út	ap˦˥ut˦˥
áp điện	ap˦˥diən˨ˀ˩ʔ
áp điệu	ap˦˥diəw˨ˀ˩ʔ
áp đảo	ap˦˥daw˧˩˨
áp đặt	ap˦˥dăt˨ˀ˩
áp-ga-ni	ap˦˥-ɣa˧˧-ni˧˧
áp-phe	ap˦˥-fɛ˧˧
áp-phích	ap˦˥-fik˦˥
áp-xe	ap˦˥-sɛ˧˧
át	at˦˥
át chủ bài	at˦˥cu˧˩˨baj˧˨
át lát	at˦˥lat˦˥
át pi-rin	at˦˥pi˧˧-zin˧˧
át-lát	at˦˥-lat˦˥
át-mốt-phe	at˦˥-mot˦˥-fɛ˧˧
át-phan	at˦˥-fan˧˧
át-pi-rin	at˦˥-pi˧˧-zin˧˧
át-xít	at˦˥-sit˦˥
áy	ăj˨˦
áy náy	ăj˨˦năj˨˦
â	ɤ̆˧˧
â, â	ɤ̆˧˧ɤ̆˧˧
âm	ɤ̆m˧˧
âm ba	ɤ̆m˧˧ba˧˧
âm binh	ɤ̆m˧˧biŋ˧˧
âm bên	ɤ̆m˧˧ben˧˧
âm bản	ɤ̆m˧˧ban˧˩˨
âm bật hơi	ɤ̆m˧˧bɤ̆t˨ˀ˩hɤj˧˧
âm bộ	ɤ̆m˧˧bo˨ˀ˩ʔ
âm bội	ɤ̆m˧˧boj˨ˀ˩ʔ
âm cao	ɤ̆m˧˧kaw˧˧
âm chính	ɤ̆m˧˧ciŋ˨˦
âm chất	ɤ̆m˧˧cɤ̆t˦˥
âm chủ	ɤ̆m˧˧cu˧˩˨
âm cung	ɤ̆m˧˧kuŋ͡m˧˧
âm cuối	ɤ̆m˧˧kuəj˨˦
âm công	ɤ̆m˧˧koŋ͡m˧˧
âm cơ bản	ɤ̆m˧˧kɤ˧˧ban˧˩˨
âm cực	ɤ̆m˧˧kɯk˨ˀ˩
âm cực dương hồi	ɤ̆m˧˧kɯk˨ˀ˩zɯəŋ˧˧hoj˧˨
âm dương	ɤ̆m˧˧zɯəŋ˧˧
âm dương cách biệt	ɤ̆m˧˧zɯəŋ˧˧kɛk˦˥biət˨ˀ˩
âm dương lịch	ɤ̆m˧˧zɯəŋ˧˧lik˨ˀ˩
âm giai	ɤ̆m˧˧zaj˧˧
âm hao	ɤ̆m˧˧haw˧˧
âm hiểm	ɤ̆m˧˧hiəm˧˩˨
âm hiệu	ɤ̆m˧˧hiəw˨ˀ˩ʔ
âm hưởng	ɤ̆m˧˧hɯəŋ˧˩˨
âm hạch	ɤ̆m˧˧hɛk˨ˀ˩
âm học	ɤ̆m˧˧hɔk͡p˨ˀ˩
âm hồn	ɤ̆m˧˧hon˧˨
âm hộ	ɤ̆m˧˧ho˨ˀ˩ʔ
âm khu	ɤ̆m˧˧xu˧˧
âm khí	ɤ̆m˧˧xi˨˦
âm luật	ɤ̆m˧˧lwɤ̆t˨ˀ˩
âm lượng	ɤ̆m˧˧lɯəŋ˨ˀ˩ʔ
âm lượng kế	ɤ̆m˧˧lɯəŋ˨ˀ˩ʔke˨˦
âm lịch	ɤ̆m˧˧lik˨ˀ˩
âm mao	ɤ̆m˧˧maw˧˧
âm môn	ɤ̆m˧˧mon˧˧
âm mưu	ɤ̆m˧˧mɯw˧˧
âm nang	ɤ̆m˧˧naŋ˧˧
âm nhai	ɤ̆m˧˧ɲaj˧˧
âm nhạc	ɤ̆m˧˧ɲak˨ˀ˩
âm nhạc học	ɤ̆m˧˧ɲak˨ˀ˩hɔk͡p˨ˀ˩
âm nhấn	ɤ̆m˧˧ɲɤ̆n˨˦
âm phong	ɤ̆m˧˧fɔŋ͡m˧˧
âm phần	ɤ̆m˧˧fɤ̆n˧˨
âm phổ	ɤ̆m˧˧fo˧˩˨
âm phổ kế	ɤ̆m˧˧fo˧˩˨ke˨˦
âm phủ	ɤ̆m˧˧fu˧˩˨
âm sắc	ɤ̆m˧˧săk˦˥
âm thanh	ɤ̆m˧˧tʰɛŋ˧˧
âm thoa	ɤ̆m˧˧tʰwa˧˧
âm thầm	ɤ̆m˧˧tʰɤ̆m˧˨
âm ti	ɤ̆m˧˧ti˧˧
âm tiết	ɤ̆m˧˧tiət˦˥
âm trình	ɤ̆m˧˧ciŋ˧˨
âm ty	ɤ̆m˧˧ti˧˧
âm tín	ɤ̆m˧˧tin˨˦
âm tính	ɤ̆m˧˧tiŋ˨˦
âm tạp	ɤ̆m˧˧tap˨ˀ˩
âm tần	ɤ̆m˧˧tɤ̆n˧˨
âm tố	ɤ̆m˧˧to˨˦
âm u	ɤ̆m˧˧u˧˧
âm vang	ɤ̆m˧˧vaŋ˧˧
âm vận	ɤ̆m˧˧vɤ̆n˨ˀ˩ʔ
âm vật	ɤ̆m˧˧vɤ̆t˨ˀ˩
âm vị	ɤ̆m˧˧vi˨ˀ˩ʔ
âm vị học	ɤ̆m˧˧vi˨ˀ˩ʔhɔk͡p˨ˀ˩
âm vực	ɤ̆m˧˧vɯk˨ˀ˩
âm âm	ɤ̆m˧˧ɤ̆m˧˧
âm điệu	ɤ̆m˧˧diəw˨ˀ˩ʔ
âm đoạn	ɤ̆m˧˧dwan˨ˀ˩ʔ
âm đạo	ɤ̆m˧˧daw˨ˀ˩ʔ
âm đầu	ɤ̆m˧˧dɤ̆w˧˨
âm đệm	ɤ̆m˧˧dem˨ˀ˩ʔ
âm đức	ɤ̆m˧˧dɯk˦˥
âm ấm	ɤ̆m˧˧ɤ̆m˨˦
âm ẩm	ɤ̆m˧˧ɤ̆m˧˩˨
âm ỉ	ɤ̆m˧˧i˧˩˨
ân	ɤ̆n˧˧
ân ban	ɤ̆n˧˧ban˧˧
ân chiếu	ɤ̆n˧˧ciəw˨˦
ân cần	ɤ̆n˧˧kɤ̆n˧˨
ân gia	ɤ̆n˧˧za˧˧
ân giảm	ɤ̆n˧˧zam˧˩˨
ân hoà	ɤ̆n˧˧hwa˧˨
ân huệ	ɤ̆n˧˧hwe˨ˀ˩ʔ
ân hảo	ɤ̆n˧˧haw˧˩˨
ân hận	ɤ̆n˧˧hɤ̆n˨ˀ˩ʔ
ân hữu	ɤ̆n˧˧hɯw˧ˀ˥
ân khoa	ɤ̆n˧˧xwa˧˧
ân mỹ	ɤ̆n˧˧mi˧ˀ˥
ân nghĩa	ɤ̆n˧˧ŋiə˧ˀ˥
ân nhi	ɤ̆n˧˧ɲi˧˧
ân nhân	ɤ̆n˧˧ɲɤ̆n˧˧
ân oán	ɤ̆n˧˧wan˨˦
ân oán rạch ròi	ɤ̆n˧˧wan˨˦zɛk˨ˀ˩zɔj˧˨
ân phong	ɤ̆n˧˧fɔŋ͡m˧˧
ân sâu nghĩa nặng	ɤ̆n˧˧sɤ̆w˧˧ŋiə˧ˀ˥năŋ˨ˀ˩ʔ
ân sơn	ɤ̆n˧˧sɤn˧˧
ân sư	ɤ̆n˧˧sɯ˧˧
ân sủng	ɤ̆n˧˧suŋ͡m˧˩˨
ân thi	ɤ̆n˧˧tʰi˧˧
ân thưởng	ɤ̆n˧˧tʰɯəŋ˧˩˨
ân thạnh	ɤ̆n˧˧tʰɛŋ˨ˀ˩ʔ
ân trạch	ɤ̆n˧˧cɛk˨ˀ˩
ân trả nghĩa đền	ɤ̆n˧˧ca˧˩˨ŋiə˧ˀ˥den˧˨
ân tình	ɤ̆n˧˧tiŋ˧˨
ân tình thế lợi	ɤ̆n˧˧tiŋ˧˨tʰe˨˦lɤj˨ˀ˩ʔ
ân tín	ɤ̆n˧˧tin˨˦
ân tường	ɤ̆n˧˧tɯəŋ˧˨
ân tứ	ɤ̆n˧˧tɯ˨˦
ân xá	ɤ̆n˧˧sa˨˦
ân ái	ɤ̆n˧˧aj˨˦
ân điển	ɤ̆n˧˧diən˧˩˨
ân đức	ɤ̆n˧˧dɯk˦˥
ân ưu	ɤ̆n˧˧ɯw˧˧
âu	ɤ̆w˧˧
âu ca	ɤ̆w˧˧ka˧˧
âu cánh	ɤ̆w˧˧kɛŋ˨˦
âu cũng	ɤ̆w˧˧kuŋ͡m˧ˀ˥
âu cơ	ɤ̆w˧˧kɤ˧˧
âu gỗ	ɤ̆w˧˧ɣo˧ˀ˥
âu hoá	ɤ̆w˧˧hwa˨˦
âu hóa	ɤ̆w˧˧hwa˨˦
âu hẳn	ɤ̆w˧˧hăn˧˩˨
âu lo	ɤ̆w˧˧lɔ˧˧
âu là	ɤ̆w˧˧la˧˨
âu lâu	ɤ̆w˧˧lɤ̆w˧˧
âu lạc	ɤ̆w˧˧lak˨ˀ˩
âu nổi	ɤ̆w˧˧noj˧˩˨
âu phục	ɤ̆w˧˧fuk͡p˨ˀ˩
âu sầu	ɤ̆w˧˧sɤ̆w˧˨
âu thuyền	ɤ̆w˧˧tʰwiən˧˨
âu trang	ɤ̆w˧˧caŋ˧˧
âu tàu	ɤ̆w˧˧tăw˧˨
âu vàng	ɤ̆w˧˧vaŋ˧˨
âu yếm	ɤ̆w˧˧iɛm˨˦
âu đành	ɤ̆w˧˧dɛŋ˧˨
âu đất	ɤ̆w˧˧dɤ̆t˦˥
âu-tây	ɤ̆w˧˧-tɤ̆j˧˧
è	ɛ˧˨
è cổ	ɛ˧˨ko˧˩˨
è vai	ɛ˧˨vaj˧˧
è è	ɛ˧˨ɛ˧˨
è ạch	ɛ˧˨ɛk˨ˀ˩
èng èng	ɛŋ˧˨ɛŋ˧˨
èo uột	eo˧˨uət˨ˀ˩
èo èo	eo˧˨eo˧˨
èo ẹo	eo˧˨eo˨ˀ˩ʔ
èo ẽo	eo˧˨eo˧ˀ˥
èo ọt	eo˧˨ɔt˨ˀ˩
é	ɛ˨˦
é é	ɛ˨˦ɛ˨˦
éc	ɛk˦˥
éc éc	ɛk˦˥ɛk˦˥
ém	ɛm˨˦
ém dẹm	ɛm˨˦zɛm˨ˀ˩ʔ
ém nhẹm	ɛm˨˦ɲɛm˨ˀ˩ʔ
ém phèn	ɛm˨˦fɛn˧˨
ém quân	ɛm˨˦kwɤ̆n˧˧
ém ém	ɛm˨˦ɛm˨˦
én	ɛn˨˦
én bạc	ɛn˨˦bak˨ˀ˩
éo le	eo˨˦lɛ˧˧
ép	ɛp˦˥
ép buộc	ɛp˦˥buək˨ˀ˩
ép bụng	ɛp˦˥buŋ͡m˨ˀ˩ʔ
ép duyên	ɛp˦˥zwiən˧˧
ép dầu ép mỡ ai nỡ ép duyên	ɛp˦˥zɤ̆w˧˨ɛp˦˥mɤ˧ˀ˥aj˧˧nɤ˧ˀ˥ɛp˦˥zwiən˧˧
ép giá	ɛp˦˥za˨˦
ép liễu nài hoa	ɛp˦˥liəw˧ˀ˥naj˧˨hwa˧˧
ép lòng	ɛp˦˥lɔŋ͡m˧˨
ép như ép giò	ɛp˦˥ɲɯ˧˧ɛp˦˥zɔ˧˨
ép nài	ɛp˦˥naj˧˨
ép tình	ɛp˦˥tiŋ˧˨
ép uổng	ɛp˦˥uəŋ˧˩˨
ép vần	ɛp˦˥vɤ̆n˧˨
ép xác	ɛp˦˥sak˦˥
ép-phê	ɛp˦˥-fe˧˧
ép-xi-lon	ɛp˦˥-si˧˧-lɔn˧˧
ét	ɛt˦˥
ét xăng	ɛt˦˥săŋ˧˧
ét-coóc	ɛt˦˥-kɔk͡p˦˥
ét-xe	ɛt˦˥-sɛ˧˧
ét-xăng	ɛt˦˥-săŋ˧˧
ê	e˧˧
ê a	e˧˧a˧˧
ê chề	e˧˧ce˧˨
ê chệ	e˧˧ce˨ˀ˩ʔ
ê cu	e˧˧ku˧˧
ê hề	e˧˧he˧˨
ê ke	e˧˧kɛ˧˧
ê kíp	e˧˧kip˦˥
ê mặt	e˧˧măt˨ˀ˩
ê răng	e˧˧zăŋ˧˧
ê te	e˧˧tɛ˧˧
ê ti-len	e˧˧ti˧˧-lɛn˧˧
ê trệ	e˧˧ce˨ˀ˩ʔ
ê tô	e˧˧to˧˧
ê ê	e˧˧e˧˧
ê ẩm	e˧˧ɤ̆m˧˩˨
ê, ê	e˧˧e˧˧
ê-bô-nit	e˧˧-bo˧˧-nit˧˧
ê-bô-nít	e˧˧-bo˧˧-nit˦˥
ê-cu	e˧˧-ku˧˧
ê-ke	e˧˧-kɛ˧˧
ê-kíp	e˧˧-kip˦˥
ê-léc-tron	e˧˧-lɛk˦˥-cɔn˧˧
ê-líp	e˧˧-lip˦˥
ê-lếch-tơ-rôn	e˧˧-lek˦˥-tɤ˧˧-zon˧˧
ê-mun-xi	e˧˧-mun˧˧-si˧˧
ê-mê-tin	e˧˧-me˧˧-tin˧˧
ê-mơ-rốt	e˧˧-mɤ˧˧-zot˦˥
ê-pông	e˧˧-poŋ͡m˧˧
ê-ri-tơ-rô-mi-xin	e˧˧-zi˧˧-tɤ˧˧-zo˧˧-mi˧˧-sin˧˧
ê-rô-mi-xin	e˧˧-zo˧˧-mi˧˧-sin˧˧
ê-săng-chi-ông	e˧˧-săŋ˧˧-ci˧˧-oŋ͡m˧˧
ê-ta	e˧˧-ta˧˧
ê-te	e˧˧-tɛ˧˧
ê-ti-két	e˧˧-ti˧˧-kɛt˦˥
ê-ti-len	e˧˧-ti˧˧-lɛn˧˧
ê-tuýt	e˧˧-twit˦˥
ê-tô	e˧˧-to˧˧
ê-đê	e˧˧-de˧˧
êm	em˧˧
êm chuyện	em˧˧cwiən˨ˀ˩ʔ
êm chèo mát mái	em˧˧ceo˧˨mat˦˥maj˨˦
êm dịu	em˧˧ziw˨ˀ˩ʔ
êm giấc	em˧˧zɤ̆k˦˥
êm giầm	em˧˧zɤ̆m˧˨
êm giọng	em˧˧zɔŋ͡m˨ˀ˩ʔ
êm lòng	em˧˧lɔŋ͡m˧˨
êm lặng	em˧˧lăŋ˨ˀ˩ʔ
êm như ru	em˧˧ɲɯ˧˧zu˧˧
êm ro	em˧˧zɔ˧˧
êm ru	em˧˧zu˧˧
êm rơ	em˧˧zɤ˧˧
êm tai	em˧˧taj˧˧
êm thấm	em˧˧tʰɤ̆m˨˦
êm trời	em˧˧cɤj˧˨
êm xuôi	em˧˧suəj˧˧
êm ái	em˧˧aj˨˦
êm êm	em˧˧em˧˧
êm đẹp	em˧˧dɛp˨ˀ˩
êm đềm	em˧˧dem˧˨
êm ả	em˧˧a˧˩˨
êm ấm	em˧˧ɤ̆m˨˦
êm ắng	em˧˧ăŋ˨˦
êu	ɛu˧˧
êu êu	ɛu˧˧ɛu˧˧
êu ôi	ɛu˧˧oj˧˧
ì	i˧˨
ì oàm	i˧˨wam˧˨
ì oạp	i˧˨wap˨ˀ˩
ì xèo	i˧˨seo˧˨
ì à ì èo	i˧˨a˧˨i˧˨eo˧˨
ì à ì ạch	i˧˨a˧˨i˧˨ɛk˨ˀ˩
ì èo	i˧˨eo˧˨
ì ì	i˧˨i˧˨
ì ùng	i˧˨uŋ͡m˧˨
ì ạch	i˧˨ɛk˨ˀ˩
ì ầm	i˧˨ɤ̆m˧˨
ì ọp	i˧˨ɔp˨ˀ˩
ì ộp	i˧˨op˨ˀ˩
ì ục	i˧˨uk͡p˨ˀ˩
ìn ịt	in˧˨it˨ˀ˩
ình	iŋ˧˨
ình bụng	iŋ˧˨buŋ͡m˨ˀ˩ʔ
ình oàng	iŋ˧˨waŋ˧˨
ình ịch	iŋ˧˨ik˨ˀ˩
í	i˨˦
í a í ới	i˨˦a˧˧i˨˦ɤj˨˦
í e	i˨˦ɛ˧˧
í hị	i˨˦hi˨ˀ˩ʔ
í o	i˨˦ɔ˧˧
í oẳng	i˨˦wăŋ˧˩˨
í éc	i˨˦ɛk˦˥
í éo	i˨˦eo˨˦
í ẳng	i˨˦ăŋ˧˩˨
í ẹ	i˨˦ɛ˨ˀ˩ʔ
í ố	i˨˦o˨˦
í ối	i˨˦oj˨˦
í ới	i˨˦ɤj˨˦
ích	ik˦˥
ích dụng	ik˦˥zuŋ͡m˨ˀ˩ʔ
ích hữu	ik˦˥hɯw˧ˀ˥
ích kỉ	ik˦˥ki˧˩˨
ích kỉ hại nhân	ik˦˥ki˧˩˨haj˨ˀ˩ʔɲɤ̆n˧˧
ích kỷ	ik˦˥ki˧˩˨
ích kỷ hại nhân	ik˦˥ki˧˩˨haj˨ˀ˩ʔɲɤ̆n˧˧
ích lợi	ik˦˥lɤj˨ˀ˩ʔ
ích mẫu	ik˦˥mɤ̆w˧ˀ˥
ích nhà lợi nước	ik˦˥ɲa˧˨lɤj˨ˀ˩ʔnɯək˦˥
ích nước lợi nhà	ik˦˥nɯək˦˥lɤj˨ˀ˩ʔɲa˧˨
ích quốc lợi dân	ik˦˥kwok͡p˦˥lɤj˨ˀ˩ʔzɤ̆n˧˧
ích xì	ik˦˥si˧˨
ích điểu	ik˦˥diəw˧˩˨
ích-xì	ik˦˥-si˧˨
ít	it˦˥
ít bột không nặn được nhiều bánh	it˦˥bot˨ˀ˩xoŋ͡m˧˧năn˨ˀ˩ʔdɯək˨ˀ˩ɲiəw˧˨bɛŋ˨˦
ít bữa	it˦˥bɯə˧ˀ˥
ít chắt chiu hơn nhiều phung phí	it˦˥căt˦˥ciw˧˧hɤn˧˧ɲiəw˧˨fuŋ͡m˧˧fi˨˦
ít có	it˦˥kɔ˨˦
ít hôm	it˦˥hom˧˧
ít hơn	it˦˥hɤn˧˧
ít khi	it˦˥xi˧˧
ít lâu	it˦˥lɤ̆w˧˧
ít lời	it˦˥lɤj˧˨
ít ngài dài đũa	it˦˥ŋaj˧˨zaj˧˨duə˧ˀ˥
ít nhiều	it˦˥ɲiəw˧˨
ít nhất	it˦˥ɲɤ̆t˦˥
ít nói	it˦˥nɔj˨˦
ít nữa	it˦˥nɯə˧ˀ˥
ít oi	it˦˥ɔj˧˧
ít ra	it˦˥za˧˧
ít thầy đầy đẫy	it˦˥tʰɤ̆j˧˨dɤ̆j˧˨dɤ̆j˧ˀ˥
ít tuổi	it˦˥tuəj˧˩˨
ít xì	it˦˥si˧˨
ít xít ra nhiều	it˦˥sit˦˥za˧˧ɲiəw˧˨
ít ỏi	it˦˥ɔj˧˩˨
ò e	ɔ˧˨ɛ˧˧
ò e í e	ɔ˧˨ɛ˧˧i˨˦ɛ˧˧
ò e í ỏi	ɔ˧˨ɛ˧˧i˨˦ɔj˧˩˨
ò í e	ɔ˧˨i˨˦ɛ˧˧
ò ò	ɔ˧˨ɔ˧˨
òa	wa˧˨
òi	ɔj˧˨
òi ọp	ɔj˧˨ɔp˨ˀ˩
òm	ɔm˧˨
òm ọp	ɔm˧˨ɔp˨ˀ˩
òn	ɔn˧˨
òng ọc	ɔŋ͡m˧˨ɔk͡p˨ˀ˩
ó	ɔ˨˦
ó cá	ɔ˨˦ka˨˦
óc	ɔk͡p˦˥
óc bè phái	ɔk͡p˦˥bɛ˧˨faj˨˦
óc nhóc	ɔk͡p˦˥ɲɔk͡p˦˥
óc nóc	ɔk͡p˦˥nɔk͡p˦˥
óc trâu	ɔk͡p˦˥cɤ̆w˧˧
óc ách	ɔk͡p˦˥ɛk˦˥
óc đậu	ɔk͡p˦˥dɤ̆w˨ˀ˩ʔ
ói	ɔj˨˦
ói tai	ɔj˨˦taj˧˧
óng	ɔŋ͡m˨˦
óng a óng ánh	ɔŋ͡m˨˦a˧˧ɔŋ͡m˨˦ɛŋ˨˦
óng chuốt	ɔŋ͡m˨˦cuət˦˥
óng mượt	ɔŋ͡m˨˦mɯət˨ˀ˩
óng ánh	ɔŋ͡m˨˦ɛŋ˨˦
óng óng	ɔŋ͡m˨˦ɔŋ͡m˨˦
óng ả	ɔŋ͡m˨˦a˧˩˨
óp	ɔp˦˥
óp xọp	ɔp˦˥sɔp˨ˀ˩
ót	ɔt˦˥
ót ét	ɔt˦˥ɛt˦˥
ô	o˧˧
ô binh	o˧˧biŋ˧˧
ô danh	o˧˧zɛŋ˧˧
ô doa	o˧˧zwa˧˧
ô dù	o˧˧zu˧˨
ô hay	o˧˧hăj˧˧
ô hay!	o˧˧hăj˧˧
ô hô	o˧˧ho˧˧
ô hô ai tai	o˧˧ho˧˧aj˧˧taj˧˧
ô hô!	o˧˧ho˧˧
ô hợp	o˧˧hɤp˨ˀ˩
ô kiều	o˧˧kiəw˧˨
ô kéo	o˧˧keo˨˦
ô kê	o˧˧ke˧˧
ô kìa	o˧˧kiə˧˨
ô liu	o˧˧liw˧˧
ô long	o˧˧lɔŋ͡m˧˧
ô lại	o˧˧laj˨ˀ˩ʔ
ô mai	o˧˧maj˧˧
ô môi	o˧˧moj˧˧
ô mắt	o˧˧măt˦˥
ô nhiễm	o˧˧ɲiəm˧ˀ˥
ô nhiễm môi trường	o˧˧ɲiəm˧ˀ˥moj˧˧cɯəŋ˧˨
ô nhục	o˧˧ɲuk͡p˨ˀ˩
ô pác-lơ	o˧˧pak˦˥-lɤ˧˧
ô rô	o˧˧zo˧˧
ô rút	o˧˧zut˦˥
ô thước	o˧˧tʰɯək˦˥
ô tiêu chuẩn	o˧˧tiəw˧˧cwɤ̆n˧˩˨
ô trọc	o˧˧cɔk͡p˨ˀ˩
ô tô	o˧˧to˧˧
ô tô buýt	o˧˧to˧˧bwit˦˥
ô tô ca	o˧˧to˧˧ka˧˧
ô tô ray	o˧˧to˧˧zăj˧˧
ô tô-buýt	o˧˧to˧˧-bwit˦˥
ô tạp	o˧˧tap˨ˀ˩
ô tặc cốt	o˧˧tăk˨ˀ˩kot˦˥
ô uế	o˧˧we˨˦
ô vuông	o˧˧vuəŋ˧˧
ô văng	o˧˧văŋ˧˧
ô xi hoá	o˧˧si˧˧hwa˨˦
ô xi hoá chậm	o˧˧si˧˧hwa˨˦cɤ̆m˨ˀ˩ʔ
ô đầu	o˧˧dɤ̆w˧˨
ô đồ	o˧˧do˧˨
ô, ô	o˧˧o˧˧
ô-boa	o˧˧-bwa˧˧
ô-dôn	o˧˧-zon˧˧
ô-kê	o˧˧-ke˧˧
ô-lim-pích	o˧˧-lim˧˧-pik˦˥
ô-liu	o˧˧-liw˧˧
ô-mê-ga	o˧˧-me˧˧-ɣa˧˧
ô-pê-ra	o˧˧-pe˧˧-za˧˧
ô-rê-ô-mi-xin	o˧˧-ze˧˧-o˧˧-mi˧˧-sin˧˧
ô-ten	o˧˧-tɛn˧˧
ô-tô	o˧˧-to˧˧
ô-tô ca	o˧˧-to˧˧ka˧˧
ô-tô du lịch	o˧˧-to˧˧zu˧˧lik˨ˀ˩
ô-tô hòm	o˧˧-to˧˧hɔm˧˨
ô-tô ray	o˧˧-to˧˧zăj˧˧
ô-tô xích	o˧˧-to˧˧sik˦˥
ô-tô điện	o˧˧-to˧˧diən˨ˀ˩ʔ
ô-tô-buýt	o˧˧-to˧˧-bwit˦˥
ô-tô-ca	o˧˧-to˧˧-ka˧˧
ô-tô-ma-tích	o˧˧-to˧˧-ma˧˧-tik˦˥
ô-tô-mát	o˧˧-to˧˧-mat˦˥
ô-tô-ray	o˧˧-to˧˧-zăj˧˧
ô-văng	o˧˧-văŋ˧˧
ô-xi	o˧˧-si˧˧
ô-xít	o˧˧-sit˦˥
ôi	oj˧˧
ôi chao	oj˧˧caw˧˧
ôi khét	oj˧˧xɛt˦˥
ôi thiu	oj˧˧tʰiw˧˧
ôi thôi	oj˧˧tʰoj˧˧
ôi ối	oj˧˧oj˨˦
ôm	om˧˧
ôm bầu mang tiếng thị phi	om˧˧bɤ̆w˧˨maŋ˧˧tiəŋ˨˦tʰi˨ˀ˩ʔfi˧˧
ôm choàng	om˧˧cwaŋ˧˨
ôm chân	om˧˧cɤ̆n˧˧
ôm chầm	om˧˧cɤ̆m˧˨
ôm chằm	om˧˧căm˧˨
ôm cầm	om˧˧kɤ̆m˧˨
ôm ghì	om˧˧ɣi˧˨
ôm hôn	om˧˧hon˧˧
ôm kế	om˧˧ke˨˦
ôm lòng đòi đoạn	om˧˧lɔŋ͡m˧˨dɔj˧˨dwan˨ˀ˩ʔ
ôm rơm nặng bụng	om˧˧zɤm˧˧năŋ˨ˀ˩ʔbuŋ͡m˨ˀ˩ʔ
ôm rơm rặm bụng	om˧˧zɤm˧˧zăm˨ˀ˩ʔbuŋ͡m˨ˀ˩ʔ
ôm sầu nuốt tủi	om˧˧sɤ̆w˧˨nuət˦˥tuj˧˩˨
ôm trống	om˧˧coŋ͡m˨˦
ôm đít	om˧˧dit˦˥
ôm đầu	om˧˧dɤ̆w˧˨
ôm đồm	om˧˧dom˧˨
ôm ấp	om˧˧ɤ̆p˦˥
ôm-kế	om˧˧-ke˨˦
ôm-lét	om˧˧-lɛt˦˥
ôn	on˧˧
ôn con	on˧˧kɔn˧˧
ôn cũ biết mới	on˧˧ku˧ˀ˥biət˦˥mɤj˨˦
ôn cố tri tân	on˧˧ko˨˦ci˧˧tɤ̆n˧˧
ôn dịch	on˧˧zik˨ˀ˩
ôn hoà	on˧˧hwa˧˨
ôn hòa	on˧˧hwa˧˨
ôn hậu	on˧˧hɤ̆w˨ˀ˩ʔ
ôn luyện	on˧˧lwiən˨ˀ˩ʔ
ôn nhu	on˧˧ɲu˧˧
ôn thi	on˧˧tʰi˧˧
ôn tuyền	on˧˧twiən˧˨
ôn tập	on˧˧tɤ̆p˨ˀ˩
ôn tồn	on˧˧ton˧˨
ôn vật	on˧˧vɤ̆t˨ˀ˩
ôn đái	on˧˧daj˨˦
ôn độ	on˧˧do˨ˀ˩ʔ
ôn đới	on˧˧dɤj˨˦
ôn ổn	on˧˧on˧˩˨
ông	oŋ͡m˧˧
ông anh	oŋ͡m˧˧ɛŋ˧˧
ông ba mươi	oŋ͡m˧˧ba˧˧mɯəj˧˧
ông bà	oŋ͡m˧˧ba˧˨
ông bà ông vải	oŋ͡m˧˧ba˧˨oŋ͡m˧˧vaj˧˩˨
ông bảy mươi học ông bảy mốt	oŋ͡m˧˧băj˧˩˨mɯəj˧˧hɔk͡p˨ˀ˩oŋ͡m˧˧băj˧˩˨mot˦˥
ông bầu	oŋ͡m˧˧bɤ̆w˧˨
ông cha	oŋ͡m˧˧ca˧˧
ông chằng bà chuộc	oŋ͡m˧˧căŋ˧˨ba˧˨cuək˨ˀ˩
ông chẳng bà chuộc	oŋ͡m˧˧căŋ˧˩˨ba˧˨cuək˨ˀ˩
ông chẳng ra ông thằng chẳng ra thằng	oŋ͡m˧˧căŋ˧˩˨za˧˧oŋ͡m˧˧tʰăŋ˧˨căŋ˧˩˨za˧˧tʰăŋ˧˨
ông có cái giò, bà thò nai rượu	oŋ͡m˧˧kɔ˨˦kaj˨˦zɔ˧˨ba˧˨tʰɔ˧˨naj˧˧zɯəw˨ˀ˩ʔ
ông công	oŋ͡m˧˧koŋ͡m˧˧
ông cũng như thằng	oŋ͡m˧˧kuŋ͡m˧ˀ˥ɲɯ˧˧tʰăŋ˧˨
ông cả bà lớn	oŋ͡m˧˧ka˧˩˨ba˧˨lɤn˨˦
ông cụ	oŋ͡m˧˧ku˨ˀ˩ʔ
ông cụ non	oŋ͡m˧˧ku˨ˀ˩ʔnɔn˧˧
ông ghê bà cũng gớm	oŋ͡m˧˧ɣe˧˧ba˧˨kuŋ͡m˧ˀ˥ɣɤm˨˦
ông gia	oŋ͡m˧˧za˧˧
ông gia bà gia	oŋ͡m˧˧za˧˧ba˧˨za˧˧
ông già	oŋ͡m˧˧za˧˨
ông già bà cả	oŋ͡m˧˧za˧˨ba˧˨ka˧˩˨
ông hoàng bà chúa	oŋ͡m˧˧hwaŋ˧˨ba˧˨cuə˨˦
ông huyện chưa đi, ông tri đã đến	oŋ͡m˧˧hwiən˨ˀ˩ʔcɯə˧˧di˧˧oŋ͡m˧˧ci˧˧da˧ˀ˥den˨˦
ông hểnh	oŋ͡m˧˧heŋ˧˩˨
